"Buchungstag";"Umsatztag";"Vorgang";"Referenz";"Buchungstext";"Umsatz in EUR";
"29.02.2016";"29.02.2016";"Visa-Kartenabrechnung";"116022985638101";" SUMME MONATSABRECHNUNG VISA ";"200,00";
"29.02.2016";"27.02.2016";"Wechselgeld-Sparen";"116022985638001";" WECHSELGELD-SPARBETRAG ";"-0,93";
"29.02.2016";"27.02.2016";"Visa-Umsatz";"116022985637901";" ALDI 30051 COTTBUS 000 ";"-5,07";
"29.02.2016";"28.02.2016";"Wechselgeld-Sparen";"116022985637801";" WECHSELGELD-SPARBETRAG ";"-0,10";
"29.02.2016";"28.02.2016";"Visa-Umsatz";"116022985637701";" Deutsche Post Mobility GmBonn 000 ";"-13,90";
"29.02.2016";"27.02.2016";"Wechselgeld-Sparen";"116022985637601";" WECHSELGELD-SPARBETRAG ";"-0,41";
"29.02.2016";"27.02.2016";"Visa-Umsatz";"116022985637501";" REWE Markt Thomas Berges Cottbus 000 ";"-2,59";
"26.02.2016";"25.02.2016";"Wechselgeld-Sparen";"116022634929501";" WECHSELGELD-SPARBETRAG ";"-0,58";
"26.02.2016";"25.02.2016";"Visa-Umsatz";"116022634929401";" tronomed GmbH Co. KG Braunschweig000 ";"-26,42";
"26.02.2016";"25.02.2016";"Wechselgeld-Sparen";"116022634929301";" WECHSELGELD-SPARBETRAG ";"-0,62";
"26.02.2016";"25.02.2016";"Visa-Umsatz";"116022634929201";" REWE Markt Thomas Berges Cottbus 000 ";"-4,38";
"26.02.2016";"25.02.2016";"Wechselgeld-Sparen";"116022634929101";" WECHSELGELD-SPARBETRAG ";"-0,30";
"26.02.2016";"25.02.2016";"Visa-Umsatz";"116022634929001";" REWE Markt Thomas Berges Cottbus 000 ";"-0,70";
"25.02.2016";"24.02.2016";"Wechselgeld-Sparen";"116022533050701";" WECHSELGELD-SPARBETRAG ";"-0,13";
"25.02.2016";"24.02.2016";"Visa-Umsatz";"116022533050601";" ALDI 30051 COTTBUS 000 ";"-5,87";
"25.02.2016";"24.02.2016";"Wechselgeld-Sparen";"116022533050501";" WECHSELGELD-SPARBETRAG ";"-0,41";
"25.02.2016";"24.02.2016";"Visa-Umsatz";"116022533050401";" REWE Markt Thomas Berges Cottbus 000 ";"-2,59";
"25.02.2016";"24.02.2016";"Wechselgeld-Sparen";"116022533050301";" WECHSELGELD-SPARBETRAG ";"-0,72";
"25.02.2016";"24.02.2016";"Visa-Umsatz";"116022533050201";" REWE Markt Thomas Berges Cottbus 000 ";"-1,28";
"24.02.2016";"23.02.2016";"Wechselgeld-Sparen";"116022434098001";" WECHSELGELD-SPARBETRAG ";"-0,62";
"24.02.2016";"23.02.2016";"Visa-Umsatz";"116022434097901";" REWE Markt Thomas Berges Cottbus 000 ";"-4,38";
"24.02.2016";"23.02.2016";"Wechselgeld-Sparen";"116022434097801";" WECHSELGELD-SPARBETRAG ";"-0,78";
"24.02.2016";"23.02.2016";"Visa-Umsatz";"116022434097701";" REWE Markt Thomas Berges Cottbus 000 ";"-1,22";
"23.02.2016";"22.02.2016";"Wechselgeld-Sparen";"116022335707801";" WECHSELGELD-SPARBETRAG ";"-0,72";
"23.02.2016";"22.02.2016";"Visa-Umsatz";"116022335707701";" REWE Markt Thomas Berges Cottbus 000 ";"-4,28";
"22.02.2016";"20.02.2016";"Wechselgeld-Sparen";"116022257707501";" WECHSELGELD-SPARBETRAG ";"-0,74";
"22.02.2016";"20.02.2016";"Visa-Umsatz";"116022257707401";" ALDI 30051 COTTBUS 000 ";"-5,26";
"22.02.2016";"19.02.2016";"Wechselgeld-Sparen";"116022257707301";" WECHSELGELD-SPARBETRAG ";"-0,44";
"22.02.2016";"19.02.2016";"Visa-Umsatz";"116022257707201";" REWE Markt Thomas Berges Cottbus 000 ";"-2,56";
"22.02.2016";"19.02.2016";"Wechselgeld-Sparen";"116022257707101";" WECHSELGELD-SPARBETRAG ";"-0,78";
"22.02.2016";"19.02.2016";"Visa-Umsatz";"116022257707001";" REWE Markt Thomas Berges Cottbus 000 ";"-1,22";
"18.02.2016";"17.02.2016";"Wechselgeld-Sparen";"116021832780301";" WECHSELGELD-SPARBETRAG ";"-0,41";
"18.02.2016";"17.02.2016";"Visa-Umsatz";"116021832780201";" REWE Markt Thomas Berges Cottbus 000 ";"-2,59";
"18.02.2016";"17.02.2016";"Wechselgeld-Sparen";"116021832780101";" WECHSELGELD-SPARBETRAG ";"-0,86";
"18.02.2016";"17.02.2016";"Visa-Umsatz";"116021832780001";" REWE Markt Thomas Berges Cottbus 000 ";"-1,14";
"16.02.2016";"15.02.2016";"Wechselgeld-Sparen";"116021634949701";" WECHSELGELD-SPARBETRAG ";"-0,51";
"16.02.2016";"15.02.2016";"Visa-Umsatz";"116021634949601";" ALDI 30051 COTTBUS 000 ";"-1,49";
"16.02.2016";"15.02.2016";"Wechselgeld-Sparen";"116021634949501";" WECHSELGELD-SPARBETRAG ";"-0,78";
"16.02.2016";"15.02.2016";"Visa-Umsatz";"116021634949401";" REWE Markt Thomas Berges Cottbus 000 ";"-1,22";
"15.02.2016";"13.02.2016";"Wechselgeld-Sparen";"116021559044001";" WECHSELGELD-SPARBETRAG ";"-0,11";
"15.02.2016";"13.02.2016";"Visa-Umsatz";"116021559043901";" ALDI 30051 COTTBUS 000 ";"-16,89";
"15.02.2016";"12.02.2016";"Wechselgeld-Sparen";"116021559043801";" WECHSELGELD-SPARBETRAG ";"-0,78";
"15.02.2016";"12.02.2016";"Visa-Umsatz";"116021559043701";" REWE Markt Thomas Berges Cottbus 000 ";"-1,22";
"12.02.2016";"11.02.2016";"Wechselgeld-Sparen";"116021236016601";" WECHSELGELD-SPARBETRAG ";"-0,72";
"12.02.2016";"11.02.2016";"Visa-Umsatz";"116021236016501";" BURGER KING COTTBUS 000 ";"-5,28";
"12.02.2016";"11.02.2016";"Wechselgeld-Sparen";"116021236016401";" WECHSELGELD-SPARBETRAG ";"-0,80";
"12.02.2016";"11.02.2016";"Visa-Umsatz";"116021236016301";" REWE Markt Thomas Berges Cottbus 000 ";"-5,20";
"11.02.2016";"10.02.2016";"Wechselgeld-Sparen";"116021132780701";" WECHSELGELD-SPARBETRAG ";"-0,01";
"11.02.2016";"10.02.2016";"Visa-Umsatz";"116021132780601";" SNAPFISH DE NEWTON ABBOT006 ";"-4,99";
"11.02.2016";"10.02.2016";"Wechselgeld-Sparen";"116021132780501";" WECHSELGELD-SPARBETRAG ";"-0,37";
"11.02.2016";"10.02.2016";"Visa-Umsatz";"116021132780401";" ALDI 30051 COTTBUS 000 ";"-4,63";
"09.02.2016";"08.02.2016";"Wechselgeld-Sparen";"116020934266901";" WECHSELGELD-SPARBETRAG ";"-0,87";
"09.02.2016";"08.02.2016";"Visa-Umsatz";"116020934266801";" NETTO SAGT DANKE 8685 COTTBUS 000 ";"-6,13";
"08.02.2016";"06.02.2016";"Wechselgeld-Sparen";"116020856777201";" WECHSELGELD-SPARBETRAG ";"-0,02";
"08.02.2016";"06.02.2016";"Visa-Umsatz";"116020856777101";" ALDI 30051 COTTBUS 000 ";"-6,98";
"08.02.2016";"05.02.2016";"Wechselgeld-Sparen";"116020856777001";" WECHSELGELD-SPARBETRAG ";"-0,84";
"08.02.2016";"05.02.2016";"Visa-Umsatz";"116020856776901";" REWE Markt Thomas Berges Cottbus 000 ";"-8,16";
"08.02.2016";"05.02.2016";"Wechselgeld-Sparen";"116020856776801";" WECHSELGELD-SPARBETRAG ";"-0,36";
"08.02.2016";"05.02.2016";"Visa-Umsatz";"116020856776701";" REWE Markt Thomas Berges Cottbus 000 ";"-0,64";
"05.02.2016";"04.02.2016";"Wechselgeld-Sparen";"116020535489401";" WECHSELGELD-SPARBETRAG ";"-0,42";
"05.02.2016";"04.02.2016";"Visa-Umsatz";"116020535489301";" REWE Markt Thomas Berges Cottbus 000 ";"-3,58";
"04.02.2016";"03.02.2016";"Wechselgeld-Sparen";"116020433247801";" WECHSELGELD-SPARBETRAG ";"-0,82";
"04.02.2016";"03.02.2016";"Visa-Umsatz";"116020433247701";" REWE Markt Thomas Berges Cottbus 000 ";"-5,18";
"03.02.2016";"02.02.2016";"Wechselgeld-Sparen";"116020333829101";" WECHSELGELD-SPARBETRAG ";"-0,13";
"03.02.2016";"02.02.2016";"Visa-Umsatz";"116020333829001";" NETTO SAGT DANKE 8685 COTTBUS 000 ";"-3,87";
"02.02.2016";"01.02.2016";"Wechselgeld-Sparen";"116020235035401";" WECHSELGELD-SPARBETRAG ";"-0,81";
"02.02.2016";"01.02.2016";"Visa-Umsatz";"116020235035301";" NETTO SAGT DANKE 8685 COTTBUS 000 ";"-7,19";
"01.02.2016";"30.01.2016";"Wechselgeld-Sparen";"116020156200301";" WECHSELGELD-SPARBETRAG ";"-0,40";
"01.02.2016";"30.01.2016";"Visa-Umsatz";"116020156200201";" ALDI 30051 COTTBUS 000 ";"-7,60";
"01.02.2016";"30.01.2016";"Wechselgeld-Sparen";"116020156200101";" WECHSELGELD-SPARBETRAG ";"-0,82";
