Buchungstag;Umsatztag;Vorgang;Referenz;Buchungstext;Umsatz in EUR
30.06.2016;30.06.2016;Visa-Kartenabrechnung;116063061726901; SUMME MONATSABRECHNUNG VISA ;220
30.06.2016;29.06.2016;Wechselgeld-Sparen;116063061726801; WECHSELGELD-SPARBETRAG ;-0.62
30.06.2016;29.06.2016;Visa-Umsatz;116063061726701; EDEKA FANDERL INGOLSTADT 000 ;-5.38
29.06.2016;27.06.2016;Wechselgeld-Sparen;116062934465001; WECHSELGELD-SPARBETRAG ;-0.74
29.06.2016;27.06.2016;Visa-Umsatz;116062934464901; KAUFLAND INGOLSTADT INGOLSTADT 000 ;-11.26
28.06.2016;27.06.2016;Wechselgeld-Sparen;116062835571201; WECHSELGELD-SPARBETRAG ;-0.87
28.06.2016;27.06.2016;Visa-Umsatz;116062835571101; ALDI SUED SAGT DANKE INGOLSTADT 000 ;-18.13
28.06.2016;27.06.2016;Visa-Umsatz;116062835571001; DM-Drogerie Markt Ingolstadt 000 ;-13
27.06.2016;24.06.2016;Wechselgeld-Sparen;116062758341601; WECHSELGELD-SPARBETRAG ;-0.02
27.06.2016;24.06.2016;Visa-Umsatz;116062758341501; EDEKA FANDERL INGOLSTADT 000 ;-16.98
23.06.2016;22.06.2016;Wechselgeld-Sparen;116062333412901; WECHSELGELD-SPARBETRAG ;-0.16
23.06.2016;22.06.2016;Visa-Umsatz;116062333412801; EDEKA FANDERL INGOLSTADT 000 ;-9.84
22.06.2016;21.06.2016;Wechselgeld-Sparen;116062236418101; WECHSELGELD-SPARBETRAG ;-0.47
22.06.2016;21.06.2016;Visa-Umsatz;116062236418001; EDEKA FANDERL INGOLSTADT 000 ;-5.53
20.06.2016;18.06.2016;Wechselgeld-Sparen;116062058411701; WECHSELGELD-SPARBETRAG ;-0.57
20.06.2016;18.06.2016;Visa-Umsatz;116062058411601; EDEKA FANDERL INGOLSTADT 000 ;-11.43
20.06.2016;17.06.2016;Wechselgeld-Sparen;116062058411501; WECHSELGELD-SPARBETRAG ;-0.52
20.06.2016;17.06.2016;Visa-Umsatz;116062058411401; EDEKA FANDERL INGOLSTADT 000 ;-16.48
14.06.2016;13.06.2016;Wechselgeld-Sparen;116061437266501; WECHSELGELD-SPARBETRAG ;-0.23
14.06.2016;13.06.2016;Visa-Umsatz;116061437266401; EDEKA FANDERL INGOLSTADT 000 ;-5.77
13.06.2016;11.06.2016;Wechselgeld-Sparen;116061359381901; WECHSELGELD-SPARBETRAG ;-0.01
13.06.2016;11.06.2016;Visa-Umsatz;116061359381801; EDEKA FANDERL INGOLSTADT 000 ;-1.99
10.06.2016;09.06.2016;Wechselgeld-Sparen;116061036577701; WECHSELGELD-SPARBETRAG ;-0.58
10.06.2016;09.06.2016;Visa-Umsatz;116061036577601; ALDI SUED SAGT DANKE INGOLSTADT 000 ;-11.42
07.06.2016;06.06.2016;Wechselgeld-Sparen;116060736012501; WECHSELGELD-SPARBETRAG ;-0.9
07.06.2016;06.06.2016;Visa-Umsatz;116060736012401; ALDI SUED SAGT DANKE INGOLSTADT 000 ;-1.1
07.06.2016;06.06.2016;Wechselgeld-Sparen;116060736012301; WECHSELGELD-SPARBETRAG ;-0.53
07.06.2016;06.06.2016;Visa-Umsatz;116060736012201; ALDI SUED SAGT DANKE INGOLSTADT 000 ;-19.47
07.06.2016;06.06.2016;Wechselgeld-Sparen;116060736012101; WECHSELGELD-SPARBETRAG ;-0.85
07.06.2016;06.06.2016;Visa-Umsatz;116060736012001; DM-Drogerie Markt Ingolstadt 000 ;-11.15
06.06.2016;03.06.2016;Wechselgeld-Sparen;116060659426901; WECHSELGELD-SPARBETRAG ;-0.02
06.06.2016;03.06.2016;Visa-Umsatz;116060659426801; EDEKA-CENTER INGOLSTADT 000 ;-2.98
06.06.2016;03.06.2016;Wechselgeld-Sparen;116060659426701; WECHSELGELD-SPARBETRAG ;-0.46
06.06.2016;03.06.2016;Visa-Umsatz;116060659426601; TANKSTELLE WESTPARK INGOLSTADT 000 ;-20.54
06.06.2016;03.06.2016;Wechselgeld-Sparen;116060659426501; WECHSELGELD-SPARBETRAG ;-0.18
06.06.2016;03.06.2016;Visa-Umsatz;116060659426401; ALDI SUED SAGT DANKE INGOLSTADT 000 ;-20.82
03.06.2016;02.06.2016;Wechselgeld-Sparen;116060335766501; WECHSELGELD-SPARBETRAG ;-0.55
03.06.2016;02.06.2016;Visa-Umsatz;116060335766401; EDEKA FANDERL INGOLSTADT 000 ;-3.45
02.06.2016;01.06.2016;Wechselgeld-Sparen;116060234266301; WECHSELGELD-SPARBETRAG ;-0.67
02.06.2016;01.06.2016;Visa-Umsatz;116060234266201; EDEKA FANDERL INGOLSTADT 000 ;-4.33
